"행정구역","2025년06월_남_총인구수","2025년06월_남_연령구간인구수","2025년06월_남_0세","2025년06월_남_1세","2025년06월_남_2세","2025년06월_남_3세","2025년06월_남_4세","2025년06월_남_5세","2025년06월_남_6세","2025년06월_남_7세","2025년06월_남_8세","2025년06월_남_9세","2025년06월_남_10세","2025년06월_남_11세","2025년06월_남_12세","2025년06월_남_13세","2025년06월_남_14세","2025년06월_남_15세","2025년06월_남_16세","2025년06월_남_17세","2025년06월_남_18세","2025년06월_남_19세","2025년06월_남_20세","2025년06월_남_21세","2025년06월_남_22세","2025년06월_남_23세","2025년06월_남_24세","2025년06월_남_25세","2025년06월_남_26세","2025년06월_남_27세","2025년06월_남_28세","2025년06월_남_29세","2025년06월_남_30세","2025년06월_남_31세","2025년06월_남_32세","2025년06월_남_33세","2025년06월_남_34세","2025년06월_남_35세","2025년06월_남_36세","2025년06월_남_37세","2025년06월_남_38세","2025년06월_남_39세","2025년06월_남_40세","2025년06월_남_41세","2025년06월_남_42세","2025년06월_남_43세","2025년06월_남_44세","2025년06월_남_45세","2025년06월_남_46세","2025년06월_남_47세","2025년06월_남_48세","2025년06월_남_49세","2025년06월_남_50세","2025년06월_남_51세","2025년06월_남_52세","2025년06월_남_53세","2025년06월_남_54세","2025년06월_남_55세","2025년06월_남_56세","2025년06월_남_57세","2025년06월_남_58세","2025년06월_남_59세","2025년06월_남_60세","2025년06월_남_61세","2025년06월_남_62세","2025년06월_남_63세","2025년06월_남_64세","2025년06월_남_65세","2025년06월_남_66세","2025년06월_남_67세","2025년06월_남_68세","2025년06월_남_69세","2025년06월_남_70세","2025년06월_남_71세","2025년06월_남_72세","2025년06월_남_73세","2025년06월_남_74세","2025년06월_남_75세","2025년06월_남_76세","2025년06월_남_77세","2025년06월_남_78세","2025년06월_남_79세","2025년06월_남_80세","2025년06월_남_81세","2025년06월_남_82세","2025년06월_남_83세","2025년06월_남_84세","2025년06월_남_85세","2025년06월_남_86세","2025년06월_남_87세","2025년06월_남_88세","2025년06월_남_89세","2025년06월_남_90세","2025년06월_남_91세","2025년06월_남_92세","2025년06월_남_93세","2025년06월_남_94세","2025년06월_남_95세","2025년06월_남_96세","2025년06월_남_97세","2025년06월_남_98세","2025년06월_남_99세","2025년06월_남_100세 이상","2025년06월_여_총인구수","2025년06월_여_연령구간인구수","2025년06월_여_0세","2025년06월_여_1세","2025년06월_여_2세","2025년06월_여_3세","2025년06월_여_4세","2025년06월_여_5세","2025년06월_여_6세","2025년06월_여_7세","2025년06월_여_8세","2025년06월_여_9세","2025년06월_여_10세","2025년06월_여_11세","2025년06월_여_12세","2025년06월_여_13세","2025년06월_여_14세","2025년06월_여_15세","2025년06월_여_16세","2025년06월_여_17세","2025년06월_여_18세","2025년06월_여_19세","2025년06월_여_20세","2025년06월_여_21세","2025년06월_여_22세","2025년06월_여_23세","2025년06월_여_24세","2025년06월_여_25세","2025년06월_여_26세","2025년06월_여_27세","2025년06월_여_28세","2025년06월_여_29세","2025년06월_여_30세","2025년06월_여_31세","2025년06월_여_32세","2025년06월_여_33세","2025년06월_여_34세","2025년06월_여_35세","2025년06월_여_36세","2025년06월_여_37세","2025년06월_여_38세","2025년06월_여_39세","2025년06월_여_40세","2025년06월_여_41세","2025년06월_여_42세","2025년06월_여_43세","2025년06월_여_44세","2025년06월_여_45세","2025년06월_여_46세","2025년06월_여_47세","2025년06월_여_48세","2025년06월_여_49세","2025년06월_여_50세","2025년06월_여_51세","2025년06월_여_52세","2025년06월_여_53세","2025년06월_여_54세","2025년06월_여_55세","2025년06월_여_56세","2025년06월_여_57세","2025년06월_여_58세","2025년06월_여_59세","2025년06월_여_60세","2025년06월_여_61세","2025년06월_여_62세","2025년06월_여_63세","2025년06월_여_64세","2025년06월_여_65세","2025년06월_여_66세","2025년06월_여_67세","2025년06월_여_68세","2025년06월_여_69세","2025년06월_여_70세","2025년06월_여_71세","2025년06월_여_72세","2025년06월_여_73세","2025년06월_여_74세","2025년06월_여_75세","2025년06월_여_76세","2025년06월_여_77세","2025년06월_여_78세","2025년06월_여_79세","2025년06월_여_80세","2025년06월_여_81세","2025년06월_여_82세","2025년06월_여_83세","2025년06월_여_84세","2025년06월_여_85세","2025년06월_여_86세","2025년06월_여_87세","2025년06월_여_88세","2025년06월_여_89세","2025년06월_여_90세","2025년06월_여_91세","2025년06월_여_92세","2025년06월_여_93세","2025년06월_여_94세","2025년06월_여_95세","2025년06월_여_96세","2025년06월_여_97세","2025년06월_여_98세","2025년06월_여_99세","2025년06월_여_100세 이상"
"전국  (0000000000)","25,467,115","25,467,115","125,425","118,431","126,338","132,350","140,504","150,694","164,829","179,179","198,677","221,120","228,866","225,456","240,081","245,719","250,407","232,803","235,523","252,723","238,011","227,372","231,614","249,685","251,758","270,494","313,561","326,894","324,137","339,886","350,203","366,638","370,463","375,271","381,792","374,965","341,963","337,994","327,323","314,694","318,390","330,804","329,533","358,038","393,825","423,406","426,866","423,590","385,679","381,549","379,616","384,323","407,007","441,359","448,367","453,378","469,290","449,306","468,806","418,711","410,275","414,304","411,277","371,716","434,566","397,336","454,942","421,543","380,251","359,380","331,142","307,919","312,563","243,134","233,304","227,437","175,618","192,661","179,261","175,453","165,214","109,877","119,946","107,924","119,000","109,776","82,999","71,313","62,762","50,006","41,319","32,899","25,332","17,922","12,940","9,205","5,820","4,292","3,361","1,987","1,251","650","1,552","25,697,467","25,697,467","118,789","113,114","120,362","126,809","133,614","143,347","156,152","169,782","188,540","211,417","218,050","214,807","228,810","232,549","237,316","219,200","222,528","239,060","224,746","213,197","217,408","232,945","233,422","249,803","289,989","301,655","297,694","316,782","324,325","331,088","327,824","333,479","340,710","340,979","313,259","305,343","300,647","296,039","302,551","311,737","312,994","342,746","380,160","409,085","409,388","410,681","375,670","371,664","363,988","375,759","396,744","431,937","439,841","436,772","456,657","440,472","467,532","423,575","405,010","404,919","411,824","369,297","425,255","401,007","472,793","445,535","397,491","372,161","351,441","333,018","344,270","270,716","263,170","259,047","205,088","227,422","215,512","213,897","209,164","140,433","164,660","159,867","178,670","173,641","140,468","129,176","120,596","102,159","91,705","79,965","66,539","51,862","40,668","32,270","22,827","18,200","13,618","9,360","6,314","3,645","7,254"
"서울특별시  (1100000000)","4,497,354","4,497,354","21,390","19,262","19,885","20,781","22,041","23,215","25,342","26,818","29,616","32,992","34,467","34,049","36,555","37,202","37,898","35,817","36,246","39,757","38,241","38,230","39,574","43,355","45,465","50,269","60,782","65,570","68,285","73,337","76,537","80,446","81,569","82,438","83,403","80,955","73,121","70,016","67,124","62,722","62,249","62,810","61,485","66,404","69,212","73,979","74,352","72,505","65,921","64,290","64,905","64,770","69,103","74,241","75,894","77,872","79,751","76,016","76,762","67,970","65,221","65,591","65,697","60,509","68,668","62,650","70,558","67,479","62,231","60,024","55,067","52,515","54,192","42,922","41,773","39,441","31,450","34,986","32,301","32,325","31,390","21,403","22,822","20,671","22,353","20,862","15,672","13,027","11,332","9,010","7,181","5,865","4,353","3,028","2,294","1,609","1,033","788","676","414","249","118","341","4,828,262","4,828,262","20,192","18,362","19,171","19,836","20,770","21,696","23,380","25,574","28,355","31,907","33,068","32,022","34,731","35,154","35,951","33,943","34,751","37,477","37,332","38,787","43,511","49,284","51,839","58,777","71,226","76,494","77,782","83,800","85,170","85,474","83,034","82,478","82,479","80,726","72,106","68,251","66,602","63,241","63,380","63,534","62,497","66,314","71,094","75,001","74,676","75,461","68,357","66,839","66,739","67,070","70,907","76,511","78,538","79,144","82,003","77,767","79,880","72,127","67,657","67,602","69,802","64,479","71,898","67,176","79,641","77,670","70,143","67,406","64,268","61,515","64,340","51,139","49,260","47,115","37,738","42,940","40,330","40,570","40,033","27,731","29,630","28,006","29,674","28,393","22,356","19,824","18,262","15,117","13,510","11,406","9,309","7,382","5,682","4,549","3,237","2,719","2,043","1,429","1,006","547","1,156"
"부산광역시  (2600000000)","1,582,043","1,582,043","6,940","6,490","7,063","7,595","7,936","8,636","9,213","10,789","11,740","13,419","13,675","13,412","14,038","14,234","14,236","13,072","12,900","13,829","13,043","12,627","13,064","14,770","15,617","16,688","19,581","19,694","18,635","19,130","19,902","20,717","20,966","21,229","22,076","21,744","19,801","20,113","18,933","18,199","18,361","19,140","19,387","21,380","23,551","25,848","26,456","26,706","23,570","23,205","22,431","22,573","24,209","26,084","26,475","26,999","27,622","26,831","28,283","25,376","24,701","25,352","24,288","23,182","27,900","26,279","30,236","28,373","26,489","25,777","24,875","23,117","24,202","18,968","18,304","18,010","14,364","15,430","14,323","13,616","12,624","8,203","9,546","8,496","9,094","7,802","6,068","5,113","4,396","3,230","2,705","1,997","1,460","1,093","681","512","328","237","199","89","60","35","56","1,670,787","1,670,787","6,464","6,224","6,664","7,238","7,396","8,113","9,187","10,061","11,345","12,708","13,075","12,612","13,354","13,521","13,708","12,155","12,410","13,189","12,424","12,312","13,374","14,782","14,862","15,772","17,956","18,425","17,618","18,850","19,375","19,394","19,365","19,875","20,133","20,284","18,416","18,301","17,911","17,541","17,729","18,166","18,708","20,693","23,153","25,149","26,006","25,966","23,322","22,504","21,609","22,568","24,328","26,256","27,024","27,139","28,584","27,918","29,559","27,645","26,734","26,885","26,777","25,161","30,057","29,430","35,069","33,034","30,363","29,018","28,282","27,521","27,945","22,006","22,318","21,482","17,433","19,113","18,314","17,489","16,322","10,284","12,898","11,854","13,056","12,133","10,047","8,882","7,939","6,380","5,688","4,818","4,038","2,946","2,229","1,906","1,232","915","819","584","360","227","379"
"대구광역시  (2700000000)","1,155,353","1,155,353","5,438","5,140","5,331","5,926","6,160","7,012","7,658","8,387","9,418","10,450","10,638","10,390","11,077","11,302","11,460","10,509","10,701","11,590","10,878","10,659","10,839","12,126","12,221","12,768","14,531","15,000","14,090","14,560","14,840","15,322","15,645","15,913","16,401","16,627","14,892","15,246","14,596","13,698","14,046","14,497","14,068","15,222","16,615","18,025","18,626","18,323","16,839","16,656","17,265","17,282","18,485","19,866","20,449","20,603","21,228","20,933","21,719","20,528","19,523","19,404","19,116","17,621","20,255","19,141","20,885","19,470","17,653","15,961","15,497","14,316","14,137","11,208","11,576","11,194","8,443","9,287","9,024","8,193","7,326","4,522","5,238","5,239","5,862","5,137","3,821","3,293","2,870","2,308","1,925","1,539","1,207","752","574","456","237","133","121","71","43","18","43","1,201,699","1,201,699","5,168","4,816","5,169","5,532","5,797","6,514","7,122","8,043","9,039","9,903","10,204","10,049","10,571","10,866","10,816","9,855","9,996","10,958","10,345","9,839","10,230","11,030","10,975","11,379","13,066","13,305","12,272","13,282","13,957","14,264","13,808","13,990","14,256","14,297","12,977","12,985","12,293","12,086","12,653","12,942","12,996","14,869","17,180","18,520","18,779","18,848","17,236","16,949","17,348","17,846","19,098","20,814","21,436","21,607","22,158","22,146","22,920","21,490","20,574","20,469","20,548","18,791","21,382","20,298","23,130","21,994","19,410","17,220","17,253","16,631","16,609","13,327","14,418","13,947","10,649","11,349","11,734","10,907","10,110","5,928","7,809","8,359","8,949","8,210","6,952","6,323","5,555","4,758","4,117","3,575","3,013","2,248","1,708","1,396","973","705","528","352","229","138","235"
"인천광역시  (2800000000)","1,518,758","1,518,758","8,452","7,801","8,276","8,547","8,973","9,635","10,509","11,000","12,066","13,282","13,827","13,442","14,286","14,728","14,976","13,678","13,912","14,735","14,032","13,240","13,440","14,471","14,471","15,618","17,893","19,243","19,260","20,336","21,222","22,186","22,805","23,738","24,666","24,428","22,436","21,747","21,425","20,078","20,461","21,530","21,258","22,882","25,161","26,958","27,124","27,029","24,110","23,634","23,097","23,371","24,687","26,162","26,591","26,797","27,519","26,331","27,207","24,300","23,921","24,519","25,091","22,809","26,605","24,074","27,162","25,181","22,413","20,757","18,673","16,996","16,981","12,901","12,195","11,700","8,564","10,024","9,023","8,886","8,413","5,598","5,813","5,362","5,590","5,047","3,783","3,181","2,894","2,298","1,797","1,531","1,110","822","586","401","283","207","191","109","69","27","102","1,520,692","1,520,692","7,893","7,412","7,862","8,383","8,446","9,062","9,931","10,255","11,512","12,849","13,220","12,781","13,635","13,914","14,162","12,995","13,223","14,188","13,258","12,607","12,328","13,494","13,627","14,940","17,249","17,983","17,944","19,242","19,689","20,318","20,547","21,371","22,020","22,512","20,415","20,033","19,406","19,008","19,081","19,838","19,523","21,538","23,692","25,411","25,335","25,254","22,580","22,716","21,625","22,092","23,736","25,549","26,405","25,998","27,318","26,343","28,322","25,820","24,584","24,882","25,993","23,067","26,531","24,422","27,683","26,069","23,065","21,672","19,588","18,287","18,592","14,365","13,448","12,862","9,788","11,305","10,678","10,605","10,824","7,301","7,796","7,617","8,537","8,173","6,541","5,940","5,794","4,854","4,340","3,842","3,190","2,495","2,096","1,654","1,157","958","731","488","330","220","438"
"광주광역시  (2900000000)","690,429","690,429","3,146","3,099","3,612","3,861","4,186","4,375","4,906","5,457","6,051","6,707","6,950","6,921","7,635","7,515","7,839","7,342","7,360","8,068","7,591","7,253","7,375","8,051","8,260","8,700","9,878","9,915","9,506","9,855","10,001","10,138","10,228","10,211","10,116","9,756","8,827","8,582","8,029","7,836","8,091","8,545","8,686","9,798","11,024","11,828","11,402","11,646","10,854","10,583","11,140","10,764","11,595","12,599","12,698","12,325","13,069","12,105","12,757","11,273","10,891","11,188","10,149","9,619","10,758","9,195","10,608","10,069","8,831","8,262","7,351","6,864","7,024","5,319","4,907","5,237","4,526","4,664","4,397","4,238","4,139","2,937","3,030","2,515","2,953","2,833","2,015","1,724","1,426","1,185","978","755","581","417","270","231","119","114","76","41","38","13","22","708,653","708,653","3,109","3,021","3,401","3,738","3,984","4,373","4,709","5,140","5,722","6,478","6,510","6,654","6,989","7,194","7,393","6,888","7,069","7,411","7,076","6,808","6,976","7,501","7,543","7,812","8,793","8,858","8,794","9,155","9,212","9,425","9,300","9,060","9,010","8,862","8,034","7,671","7,574","7,563","7,884","8,360","8,451","9,560","10,741","11,823","11,534","11,921","11,168","11,019","11,084","10,846","11,679","12,703","12,911","12,589","13,162","12,355","13,076","11,639","11,077","11,487","10,632","9,792","11,064","9,714","11,623","11,397","10,089","9,320","8,321","7,567","8,117","6,483","6,170","6,349","5,729","5,950","5,615","5,679","5,517","3,808","4,257","3,663","4,202","4,266","3,394","2,997","2,619","2,423","2,072","1,694","1,515","1,198","912","714","546","471","309","202","143","83","158"
"대전광역시  (3000000000)","717,456","717,456","3,772","3,705","4,033","3,924","4,145","4,164","4,671","5,205","5,677","6,353","6,629","6,492","6,813","7,211","7,263","6,744","6,942","7,517","7,234","7,020","7,235","8,141","8,456","9,481","10,429","10,814","10,711","11,036","11,293","11,590","11,554","11,409","11,497","11,017","10,127","10,010","9,517","9,294","8,904","9,268","8,966","9,619","10,638","11,285","11,469","11,289","10,537","10,536","10,440","10,675","11,293","12,560","12,458","12,592","13,140","12,536","13,337","11,622","11,195","10,550","11,054","9,368","11,098","10,520","12,061","11,089","9,506","9,220","8,742","7,977","8,183","6,227","5,921","5,847","4,410","5,006","4,548","4,267","4,018","2,687","2,950","2,746","2,866","2,779","1,920","1,718","1,513","1,260","1,029","763","612","489","347","220","147","99","88","44","31","14","38","722,308","722,308","3,632","3,384","3,764","3,686","3,849","4,074","4,451","4,785","5,488","5,950","6,228","6,206","6,612","6,497","6,851","6,440","6,371","7,003","6,934","7,009","7,359","8,130","7,935","8,327","9,500","9,629","9,610","9,924","10,337","10,205","9,936","9,817","9,963","9,882","9,080","8,394","8,147","8,144","8,356","8,521","8,538","9,296","10,328","11,357","11,484","11,220","10,704","10,767","10,660","10,965","11,258","12,589","12,820","12,390","12,949","12,350","13,692","11,990","11,091","10,536","11,556","9,553","11,180","10,865","13,141","12,049","10,456","9,815","9,238","9,001","9,251","7,219","6,552","6,601","5,218","5,871","5,577","5,139","4,998","3,375","4,051","3,947","4,260","4,200","3,183","2,921","2,879","2,391","2,100","1,852","1,594","1,233","918","778","544","456","316","234","138","88","176"
"울산광역시  (3100000000)","563,241","563,241","2,755","2,511","2,703","2,911","3,131","3,408","3,855","4,289","4,820","5,473","5,625","5,598","5,775","5,928","6,100","5,596","5,692","5,917","5,533","5,042","5,202","5,375","5,163","5,461","6,537","7,171","6,982","7,587","7,922","8,166","8,062","7,919","8,118","7,907","7,279","7,489","7,174","6,865","6,985","7,261","7,250","7,909","8,836","9,653","9,875","10,000","8,927","8,881","8,580","8,408","9,003","9,390","9,782","10,019","10,245","10,254","10,846","10,147","10,211","10,643","10,271","8,990","10,340","9,573","10,625","9,434","8,657","7,818","7,156","6,556","6,551","5,120","4,871","4,563","3,767","3,632","3,455","3,155","2,774","1,687","1,926","1,649","1,856","1,505","1,121","954","826","558","483","299","295","223","138","94","63","39","32","14","11","6","8","530,424","530,424","2,586","2,476","2,502","2,778","3,120","3,388","3,587","4,015","4,558","5,094","5,278","5,341","5,553","5,489","5,594","5,062","5,180","5,619","4,983","4,351","3,905","3,988","3,858","4,240","4,899","5,078","4,953","5,576","5,741","6,014","5,929","6,104","6,265","6,461","6,157","6,006","5,920","5,820","6,131","6,455","6,469","7,465","8,400","9,148","9,094","9,177","8,366","8,161","7,752","8,143","8,778","9,571","9,789","10,025","10,374","10,359","11,256","10,313","9,839","9,884","9,668","8,507","9,576","9,067","10,617","9,470","8,508","7,920","7,376","6,856","6,784","5,389","5,175","4,844","3,857","3,932","3,676","3,530","3,089","1,959","2,494","2,378","2,723","2,344","1,879","1,785","1,571","1,369","1,187","1,019","868","686","534","405","271","207","160","109","88","48","82"
"세종특별자치시  (3600000000)","195,248","195,248","1,436","1,364","1,583","1,768","1,872","2,032","2,274","2,428","2,662","2,954","3,040","2,855","2,948","2,987","3,021","2,679","2,543","2,572","2,316","2,074","1,960","1,895","1,734","1,693","1,848","1,860","1,762","1,804","1,952","2,126","2,402","2,637","2,792","2,946","2,848","2,984","2,954","3,023","3,179","3,247","3,335","3,435","3,838","4,300","4,168","4,225","3,775","3,620","3,554","3,440","3,600","3,688","3,476","3,513","3,326","2,996","2,922","2,505","2,260","2,082","2,356","1,911","2,247","2,000","2,382","2,052","1,836","1,724","1,521","1,559","1,536","1,157","1,054","1,015","794","889","812","673","649","429","470","438","458","443","323","274","244","188","172","148","118","87","43","38","31","19","14","15","8","3","6","196,975","196,975","1,459","1,355","1,545","1,723","1,838","1,898","2,168","2,391","2,526","2,790","2,815","2,751","2,801","2,887","2,804","2,654","2,651","2,761","2,295","1,963","1,736","1,731","1,607","1,568","1,628","1,762","1,848","1,898","2,036","2,318","2,370","2,630","2,830","3,032","3,018","2,976","2,987","3,104","3,254","3,294","3,400","3,737","4,249","4,551","4,415","4,318","3,931","3,688","3,490","3,456","3,369","3,405","3,175","2,900","3,014","2,616","2,755","2,383","2,165","2,074","2,199","1,867","2,100","2,060","2,362","2,182","1,933","1,756","1,688","1,524","1,589","1,274","1,084","1,084","844","965","885","772","782","517","624","627","675","656","558","531","477","427","380","345","348","265","215","153","125","89","72","62","36","15","35"
"경기도  (4100000000)","6,888,166","6,888,166","37,970","36,254","39,174","40,598","42,476","45,018","49,274","52,706","58,507","64,685","66,858","64,895","68,987","70,240","71,482","66,006","66,668","71,576","66,931","63,349","63,478","67,929","67,938","72,885","85,644","90,302","90,225","95,037","97,348","102,780","104,231","106,774","109,066","108,528","98,815","97,535","95,520","92,471","93,308","96,753","96,572","104,153","115,012","123,651","123,661","122,071","109,939","108,599","107,644","109,048","113,525","122,564","123,778","125,526","128,388","121,907","125,503","109,858","108,246","108,430","109,184","97,815","111,575","100,456","113,527","104,188","93,425","87,100","77,372","71,245","71,596","55,134","52,382","49,219","36,390","40,651","37,667","37,987","36,157","24,895","26,232","23,227","25,255","23,624","18,127","15,302","13,556","11,075","9,160","7,142","5,700","3,948","2,942","2,107","1,383","1,010","762","474","285","169","425","6,823,238","6,823,238","36,217","34,556","37,003","38,847","40,704","43,385","46,610","50,233","55,431","62,209","63,764","62,591","66,304","67,088","68,506","62,985","63,950","68,363","63,874","59,363","59,551","62,628","62,395","67,802","79,910","82,844","81,668","85,630","87,004","90,131","90,424","93,457","96,066","97,526","91,362","88,735","88,310","86,764","87,877","91,442","91,389","98,787","108,977","117,935","117,881","117,520","107,102","105,567","103,363","105,797","110,920","120,490","121,587","121,509","125,817","119,933","126,429","112,973","107,353","105,972","107,724","95,193","107,686","99,936","114,697","105,815","94,841","87,501","80,632","75,232","77,350","59,850","57,513","55,048","42,140","47,701","44,739","45,738","45,761","31,497","35,476","33,929","36,305","35,554","29,382","26,481","24,729","21,193","19,127","16,577","13,581","10,813","8,516","6,607","4,801","3,894","2,963","2,098","1,429","802","1,577"
